id,drawing_number,revision,part_name,customer_name,item_code,r2_key,file_name,type,is_active,created_at,created_by,issue_date,package_size,oil_group,pallet_type,boxes_per_pallet,shelf_life,item_number
019c0a9d-43dd-49ef-aacc-216269fd2f76,D-0280,00,ENEOS Eco Plus CF 40,ENEOS,40001420,drawing/D-0280_rev00_1784096721192.pdf,40001420 D-0280 rev.00 ENEOS Eco Plus CF 40.pdf,drawing,true,2026-07-15 06:25:21.871688+00,yeanyeen,2024-10-08,6 x 3 L.,ENGINE OIL,,30,,
02908eb0-fd4f-4a6f-802b-471f122fa6b1,SM-OR-0031,00,PTT HINO GEAR OIL GP 80W90 GL-4,PTTOR,407697,master/SM-OR-0031_rev0_1784528497511.pdf,407697 SM-OR-0031 rev.0 PTT HINO GEAR OIL GP 80W90 GL-4.pdf,master,true,2026-07-20 06:21:39.014624+00,yeanyeen,2026-03-19,5 x 6 L.,GEAR OIL,พลาสติก,24,5 years,61653013A700A
03ae3921-87aa-4d28-9f1a-c8044e1f878d,D-0072,00,YAMALUBE RS4GP 10W40 (90793-AT500-C0),ENEOS,40002089,drawing/D-0072_rev00_1784278907472.pdf,40002089 D-0072 rev.00 YAMALUBE RS4GP 10W40 (90793-AT500-C0).pdf,drawing,true,2026-07-17 09:01:49.425984+00,yeanyeen,2026-07-15,1 x 12 L.,ENGINE OIL,,50,2 years,
06a6ca7a-5fd2-48dd-a68a-fd85c02d52a8,D-0152,04,HONDA P. GOLD 4T JASO MA 10W-30-New design (08233-2MAK1LT3),ENEOS,40001659,drawing/D-0152_rev04_1784088594753.pdf,40001659 D-0152 rev.04 HONDA P. GOLD 4T JASO MA 10W-30-New design (08233-2MAK1LT3).pdf,drawing,true,2026-07-15 04:09:55.812883+00,yeanyeen,2024-03-21,1 x 12 L.,ENGINE OIL,,55,,
0786bfa3-f0ac-402a-be4d-95aa5149212f,D-0333,01,ENEOS FLUSHING OIL,ENEOS,40001713,drawing/D-0333_rev01_1784096100003.pdf,40001713 D-0333 rev.01 ENEOS FLUSHING OIL.pdf,drawing,true,2026-07-15 06:15:01.206032+00,yeanyeen,2023-08-29,6 x 3 L.,ENGINE OIL,ไม้,30,,
0799ab9d-d7be-49b8-81bc-7de4ac30ad65,D-0397,01,ENEOS X 5W-40 SP PREMIUM FULLY SYN,ENEOS,40001842,drawing/D-0397_rev01_1783931599213.pdf,40001842 D-0397 rev.01 ENEOS X 5W-40 SP PREMIUM FULLY SYN.pdf,drawing,true,2026-07-13 08:33:20.096459+00,yeanyeen,2024-10-08,4 x 4 + 1 L.,,,32,,
0bea111e-b6c2-43dc-94dc-bc2bc9b9cbd1,D-0376,03,ENEOS DIESEL PLUS CI-4 10W-30,ENEOS,40001809,drawing/D-0376_rev03_1784096124882.pdf,40001809 D-0376 rev.03 ENEOS DIESEL PLUS CI-4 10W-30.pdf,drawing,false,2026-07-15 06:15:26.347455+00,yeanyeen,2026-01-26,1 x 18 + 3 L.,ENGINE OIL,,24,4 years,
0e2d366c-4b54-4701-8be5-ea512aa368f8,D-0443,01,YAMALUBE SN MB 10W-40 Full syn,ENEOS,40002086,drawing/D-0443_rev01_1784008959400.pdf,40002086 D-0443 rev.01 YAMALUBE SN MB 10W-40 Full syn.pdf,drawing,true,2026-07-14 06:02:40.742566+00,yeanyeen,2026-05-26,1 x 12 L.,ENGINE OIL,,50,2 years,
136618f0-b264-44ca-bf22-61ffd8cbb625,D-0409,01,Honda Marine Gear Oil GL-4 90,ENEOS,40001923,drawing/D-0409_rev01_1783931613337.pdf,40001923 D-0409 rev.01 Honda Marine Gear Oil GL-4 90.pdf,drawing,false,2026-07-13 08:33:34.059947+00,yeanyeen,2024-12-17,1 x 24 L.,GEAR OIL,,,,
13d1bac6-db4b-494a-90a6-2c2eaaf2e488,D-0325,00,METAL CAN YAMALUBE SN MB 10W-40 Full syn,ENEOS,40001710,drawing/D-0325_rev00_1784096097045.pdf,40001710 D-0325 rev.00 METAL CAN YAMALUBE SN MB 10W-40 Full syn.pdf,drawing,true,2026-07-15 06:14:58.069482+00,yeanyeen,2021-06-08,1 x 12 L.,ENGINE OIL,,,,
